field,unit,availability,definition
protocol_dependency_rounds,rounds,integer,"Executed application-protocol dependency layers on the critical schedule: FC preflight; each SPFSS manifest; DPF A/B/C semantic layers reported by the DPF implementation; each public-polynomial exchange; each Ring-OLE completion agreement and derandomization opening; for every conversion chunk its preflight, three sequential correlation-generation layers, masked-input opening, and post-mask ripple/opening dependencies; final conversion agreement; and the two commit agreements. Excludes socket connection and the selected OT backend's opaque setup schedule. Instrumentation adds no protocol exchange. It is not a direction-switch or packet/network-round count. Per-party rows report the process value; the model summary reports the sum across retained layers of max(p0,p1) for each layer."
base_ot_setup_dependency_rounds,rounds,NA,"Always NA: SCI does not expose its internal Naor-Pinkas base-OT dependency schedule, and emp-silent does not expose a non-overlapping base-OT schedule, so no zero or inferred count is emitted."
preflight_us,microseconds,nonnegative-or-NA,"steady_clock wall time for the common manifest/local-validity exchange only, starting after both PartyChannel sockets are constructed; excludes connection and OT setup."
ot_setup_us,microseconds,nonnegative-or-NA,"steady_clock wall time for PartyChannel::setup_ots. For sci-iknp this includes both directional 128-base-OT batches and flushes; for emp-silent it includes both SilentFerret begin/setup sessions, including correlation generation."
dpf_phase_a_us,microseconds,nonnegative-or-NA,"Sum across executed Ring-OLE instances of DPF Phase A wall time: correlated carry triples and the dependent carry-opening chain; excludes SPFSS grouping."
dpf_phase_b_us,microseconds,nonnegative-or-NA,"Sum across executed Ring-OLE instances of DPF Phase B wall time: the level-synchronous GPU frontier, OT selection, and correction-word openings; excludes SPFSS grouping."
dpf_phase_c_us,microseconds,nonnegative-or-NA,"Sum across executed Ring-OLE instances of DPF Phase C wall time: three-OLE final payload correction through the finalCW opening; excludes SPFSS grouping."
spfss_grouping_us,microseconds,nonnegative-or-NA,"Sum of wall time spent moving generated flat DPF keys into the exact GroupedHostKeys consumer layout; excludes DPF generation and party-noise batch construction."
public_polynomial_exchange_us,microseconds,nonnegative-or-NA,"Sum of wall time to materialize fixed a_0=1, sample and encode the (c-1)*n random coefficient shares for a_1 through a_(c-1), exchange them, validate the peer shares, and combine the public Ring-LPN vector."
gpu_ringlpn_expansion_us,microseconds,nonnegative-or-NA,"Sum of wall time inside expand_ring_ole_party after host keys are packed, including its GPU work and required synchronization."
derandomization_openings_us,microseconds,nonnegative-or-NA,"Sum of wall time to form, exchange, validate, and consume Ring-OLE operand openings and accumulate cross terms."
conversion_us,microseconds,nonnegative-or-NA,"Sum of complete secure-conversion chunk wall times, including each conversion preflight, correlation generation, online ripple/openings, result copying, and local CRT lift preparation; no conversion sub-time is added again to this field."
serialization_us,microseconds,nonnegative-or-NA,"Wall time to assemble A||B||C, serialize and hash the party-local record, write its temporary file, and set owner-only permissions; ends before the first bilateral publication agreement."
commit_us,microseconds,nonnegative-or-NA,"Wall time from the first bilateral publication agreement through rename and the second bilateral rename agreement; includes failure cleanup reached in that interval."
total_us,microseconds,nonnegative,"Legacy encompassing party critical-path wall time from after OT setup through commit, retained for comparability; stage fields are partitions/details and must not be added to total_us."
matched_dealer_keygen_us,microseconds,nonnegative-or-NA,"Checker-side synchronized wall time for the two matched stock dealer gpuKeygenMatmul/gpuKeygenConv2D calls; excludes checker and online-consumer time."
checker_two_share_online_us,microseconds,nonnegative-or-NA,"Checker-side synchronized wall time for the unchanged two-share gpuMatmulBeaver/gpuConv2DBeaver consumer calls; excludes checker and dealer-baseline time."
checker_us,microseconds,nonnegative-or-NA,"Checker wall time outside the disjoint matched-dealer and online-consumer timed intervals: record validation, expected-value construction, key parsing, GPU setup/copies, synchronization outside those timers, result validation, and cleanup."
peak_host_rss_bytes,bytes,integer-or-NA,"Linux getrusage(RUSAGE_SELF).ru_maxrss process-lifetime high-water mark sampled once immediately before row emission and converted from KiB with checked multiplication by 1024; NA on syscall/range failure. Party and checker processes report separately."
