date,schema,status,row_kind,candidate,distribution,source_model,applicability,N,k,w,block_size_b,projection_degree,coefficient_limb,coefficient_prime,algorithm,time_raw_log2,memory_raw_log2,optimal_parameters,orbit_size,orbit_sqrt_sensitivity_bits,time_optional_orbit_sensitivity_log2,orbit_treatment,domain_guard,executable,dependency_status,success_semantics,memory_semantics,data_semantics,assumptions,warnings,source_revision,artifact_url,artifact_page,artifact_zip_sha256,source_member,source_member_sha256,analysis_sha256,script_sha256,record_sha256
2026-08-04,crypto-2024-regular-isd-diagnostic-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,direct_regular_sd_formula,n20_c4_t16,exact live direct: c polynomials; one uniform position/public bucket; iid uniform F_p* payloads,CRYPTO-2024 artifact regular-SD concrete formula; q is absent,DIRECT_RSD_CANDIDATE_FIELD_TRANSFER_UNPROVED,4194304,3145728,64,65536,,p0+p1 (q not an artifact input),not_input,permutation,189.994540749332,42.000000000000,{},1048576,10.000000000000,179.994540749332,raw preserved; separate optional -0.5*log2(n) sensitivity only; arbitrary-decoder speedup heuristic,"pass: N=w*b, 0<k<N, k-w>0, finite optimum",yes,stdlib transcription; accepted zip and members verified,artifact expected-work formula including its per-iteration success term where present,artifact log2 storage-cost proxy; unit not specified by notebook,one public sample; orbit generated locally and not materialized,artifact rank/list/independence and source field model; structured negacyclic matrix transfer unproved; q-ary payload transfer unproved,artifact has no q input; transfer from its source model to iid-uniform-F_p-star payloads is unproved,afe1e408f8a46aebc15293462480f478ff969923,https://artifacts.iacr.org/files/crypto/2024/crypto-2024-a1.zip,https://artifacts.iacr.org/crypto/2024/a1/,04ae2586fccb10481efb861104176e4aaabb380c3cb9704b97ce3c4768a282cb,Regular-ISD/Concrete numbers/estimates.ipynb,cebb0861f1faa53be59eb4c11a2e38219612e1fc8d39e6cb3ce597e28717c9ec,39159736d43e954c565645c76e0cbe1ac433e92ba1f2dcc8f2ab847af8f89dfc,b0864d27f03d76dd3f0bd660d33c71063ad0380498d1e07dcddc1e2f4907eff9,7bd07b750bbdc26e4450eb219bf849a1edfee193505b1a38559360dbc878e1d5
2026-08-04,crypto-2024-regular-isd-diagnostic-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,direct_regular_sd_formula,n20_c4_t16,exact live direct: c polynomials; one uniform position/public bucket; iid uniform F_p* payloads,CRYPTO-2024 artifact regular-SD concrete formula; q is absent,DIRECT_RSD_CANDIDATE_FIELD_TRANSFER_UNPROVED,4194304,3145728,64,65536,,p0+p1 (q not an artifact input),not_input,enumeration,166.873919484569,62.124099297966,"{""ell"":40,""p"":4}",1048576,10.000000000000,156.873919484569,raw preserved; separate optional -0.5*log2(n) sensitivity only; arbitrary-decoder speedup heuristic,"pass: N=w*b, 0<k<N, k-w>0, finite optimum",yes,stdlib transcription; accepted zip and members verified,artifact expected-work formula including its per-iteration success term where present,artifact log2 storage-cost proxy; unit not specified by notebook,one public sample; orbit generated locally and not materialized,artifact rank/list/independence and source field model; structured negacyclic matrix transfer unproved; q-ary payload transfer unproved,artifact has no q input; transfer from its source model to iid-uniform-F_p-star payloads is unproved,afe1e408f8a46aebc15293462480f478ff969923,https://artifacts.iacr.org/files/crypto/2024/crypto-2024-a1.zip,https://artifacts.iacr.org/crypto/2024/a1/,04ae2586fccb10481efb861104176e4aaabb380c3cb9704b97ce3c4768a282cb,Regular-ISD/Concrete numbers/estimates.ipynb,cebb0861f1faa53be59eb4c11a2e38219612e1fc8d39e6cb3ce597e28717c9ec,39159736d43e954c565645c76e0cbe1ac433e92ba1f2dcc8f2ab847af8f89dfc,b0864d27f03d76dd3f0bd660d33c71063ad0380498d1e07dcddc1e2f4907eff9,de5b238fbe753bf1fba5654e99f2158fc52fec0f9329b315ea163b33fc5f54dc
2026-08-04,crypto-2024-regular-isd-diagnostic-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,direct_regular_sd_formula,n20_c4_t16,exact live direct: c polynomials; one uniform position/public bucket; iid uniform F_p* payloads,CRYPTO-2024 artifact regular-SD concrete formula; q is absent,DIRECT_RSD_CANDIDATE_FIELD_TRANSFER_UNPROVED,4194304,3145728,64,65536,,p0+p1 (q not an artifact input),not_input,representation,184.306725253057,97.248398552489,"{""ell"":149,""ell_max"":156,""ell_min"":52,""ell_x"":84,""ell_y"":5,""eps_x"":4,""eps_y"":0,""p"":8}",1048576,10.000000000000,174.306725253057,raw preserved; separate optional -0.5*log2(n) sensitivity only; arbitrary-decoder speedup heuristic,"pass: N=w*b, 0<k<N, k-w>0, finite optimum",yes,stdlib transcription; accepted zip and members verified,artifact expected-work formula including its per-iteration success term where present,artifact log2 storage-cost proxy; unit not specified by notebook,one public sample; orbit generated locally and not materialized,artifact rank/list/independence and source field model; structured negacyclic matrix transfer unproved; q-ary payload transfer unproved,artifact has no q input; transfer from its source model to iid-uniform-F_p-star payloads is unproved,afe1e408f8a46aebc15293462480f478ff969923,https://artifacts.iacr.org/files/crypto/2024/crypto-2024-a1.zip,https://artifacts.iacr.org/crypto/2024/a1/,04ae2586fccb10481efb861104176e4aaabb380c3cb9704b97ce3c4768a282cb,Regular-ISD/Concrete numbers/estimates.ipynb,cebb0861f1faa53be59eb4c11a2e38219612e1fc8d39e6cb3ce597e28717c9ec,39159736d43e954c565645c76e0cbe1ac433e92ba1f2dcc8f2ab847af8f89dfc,b0864d27f03d76dd3f0bd660d33c71063ad0380498d1e07dcddc1e2f4907eff9,b889bf199889c9ad666cf69b1b2527516c4b531ff47e07975103e47c63062836
2026-08-04,crypto-2024-regular-isd-diagnostic-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,direct_regular_sd_formula,n20_c4_t16,exact live direct: c polynomials; one uniform position/public bucket; iid uniform F_p* payloads,CRYPTO-2024 artifact regular-SD concrete formula; q is absent,DIRECT_RSD_CANDIDATE_FIELD_TRANSFER_UNPROVED,4194304,3145728,64,65536,,p0+p1 (q not an artifact input),not_input,representation_depth_2,165.919804806757,61.169903904827,"{""ell"":41,""ell_max"":81,""ell_min"":27,""ell_x"":2,""eps_x"":0,""p"":4}",1048576,10.000000000000,155.919804806757,raw preserved; separate optional -0.5*log2(n) sensitivity only; arbitrary-decoder speedup heuristic,"pass: N=w*b, 0<k<N, k-w>0, finite optimum",yes,stdlib transcription; accepted zip and members verified,artifact expected-work formula including its per-iteration success term where present,artifact log2 storage-cost proxy; unit not specified by notebook,one public sample; orbit generated locally and not materialized,artifact rank/list/independence and source field model; structured negacyclic matrix transfer unproved; q-ary payload transfer unproved,artifact has no q input; transfer from its source model to iid-uniform-F_p-star payloads is unproved,afe1e408f8a46aebc15293462480f478ff969923,https://artifacts.iacr.org/files/crypto/2024/crypto-2024-a1.zip,https://artifacts.iacr.org/crypto/2024/a1/,04ae2586fccb10481efb861104176e4aaabb380c3cb9704b97ce3c4768a282cb,Regular-ISD/Concrete numbers/estimates.ipynb,cebb0861f1faa53be59eb4c11a2e38219612e1fc8d39e6cb3ce597e28717c9ec,39159736d43e954c565645c76e0cbe1ac433e92ba1f2dcc8f2ab847af8f89dfc,b0864d27f03d76dd3f0bd660d33c71063ad0380498d1e07dcddc1e2f4907eff9,5f94bcff860f671b98caf431c71454a85ea06fbae301aa6ae5b27ecc055bd47c
2026-08-04,crypto-2024-regular-isd-diagnostic-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,direct_regular_sd_formula,n20_c4_t16,exact live direct: c polynomials; one uniform position/public bucket; iid uniform F_p* payloads,CRYPTO-2024 artifact regular-SD concrete formula; q is absent,DIRECT_RSD_CANDIDATE_FIELD_TRANSFER_UNPROVED,4194304,3145728,64,65536,,p0+p1 (q not an artifact input),not_input,CCJ,407.046569279884,406.046387426566,"{""ell"":396,""k_tilde"":3145712.0057984283}",1048576,10.000000000000,397.046569279884,raw preserved; separate optional -0.5*log2(n) sensitivity only; arbitrary-decoder speedup heuristic,"pass: N=w*b, 0<k<N, k-w>0, finite optimum",yes,stdlib transcription; accepted zip and members verified,artifact expected-work formula including its per-iteration success term where present,artifact log2 storage-cost proxy; unit not specified by notebook,one public sample; orbit generated locally and not materialized,artifact rank/list/independence and source field model; structured negacyclic matrix transfer unproved; q-ary payload transfer unproved,artifact has no q input; transfer from its source model to iid-uniform-F_p-star payloads is unproved,afe1e408f8a46aebc15293462480f478ff969923,https://artifacts.iacr.org/files/crypto/2024/crypto-2024-a1.zip,https://artifacts.iacr.org/crypto/2024/a1/,04ae2586fccb10481efb861104176e4aaabb380c3cb9704b97ce3c4768a282cb,Regular-ISD/Concrete numbers/estimates.ipynb,cebb0861f1faa53be59eb4c11a2e38219612e1fc8d39e6cb3ce597e28717c9ec,39159736d43e954c565645c76e0cbe1ac433e92ba1f2dcc8f2ab847af8f89dfc,b0864d27f03d76dd3f0bd660d33c71063ad0380498d1e07dcddc1e2f4907eff9,6a3ff709976c6a725657571caa44839b3204ae47686c1f90da6fab24cd70e15d
2026-08-04,crypto-2024-regular-isd-diagnostic-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,direct_regular_sd_formula,n20_c4_t16,exact live direct: c polynomials; one uniform position/public bucket; iid uniform F_p* payloads,CRYPTO-2024 artifact regular-SD concrete formula; q is absent,DIRECT_RSD_CANDIDATE_FIELD_TRANSFER_UNPROVED,4194304,3145728,64,65536,,p0+p1 (q not an artifact input),not_input,CCJ_linearization,189.996638003873,42.000000000000,{},1048576,10.000000000000,179.996638003873,raw preserved; separate optional -0.5*log2(n) sensitivity only; arbitrary-decoder speedup heuristic,"pass: N=w*b, 0<k<N, k-w>0, finite optimum",yes,stdlib transcription; accepted zip and members verified,artifact expected-work formula including its per-iteration success term where present,artifact log2 storage-cost proxy; unit not specified by notebook,one public sample; orbit generated locally and not materialized,artifact rank/list/independence and source field model; structured negacyclic matrix transfer unproved; q-ary payload transfer unproved,artifact has no q input; transfer from its source model to iid-uniform-F_p-star payloads is unproved,afe1e408f8a46aebc15293462480f478ff969923,https://artifacts.iacr.org/files/crypto/2024/crypto-2024-a1.zip,https://artifacts.iacr.org/crypto/2024/a1/,04ae2586fccb10481efb861104176e4aaabb380c3cb9704b97ce3c4768a282cb,Regular-ISD/Concrete numbers/estimates.ipynb,cebb0861f1faa53be59eb4c11a2e38219612e1fc8d39e6cb3ce597e28717c9ec,39159736d43e954c565645c76e0cbe1ac433e92ba1f2dcc8f2ab847af8f89dfc,b0864d27f03d76dd3f0bd660d33c71063ad0380498d1e07dcddc1e2f4907eff9,65ab4f40346e1dcd4c0d32f26bac0e5c6888d013da25f754b77a83fcdb448eaa
2026-08-04,crypto-2024-regular-isd-diagnostic-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,generic_bjmm_incompatibility,n20_c4_t16,exact live direct RSD with iid uniform F_p* payloads,"artifact calls CryptographicEstimators binary SDEstimator(n,k,w,nsolutions=0)",INCOMPATIBLE_WITH_LIVE_QARY_MODEL,4194304,3145728,64,65536,,p0,4611686018326724609,generic_BJMM_depth_2,,,,1048576,10.000000000000,,no subtraction because no executable raw cost; optional orbit sensitivity remains heuristic,reject: no q parameter and external estimator revision absent,no,IMMUTABLE_ARTIFACT_INCOMPATIBILITY: CryptographicEstimators/Sage dependency has no pinned revision/version,artifact passes nsolutions=0; exact dependency semantics unavailable from archive,"unavailable; known dump rows only, no candidate row",one public sample; q-specific live limb listed explicitly,none silently imported,no BJMM number emitted; installing a current estimator would not reproduce the immutable artifact,afe1e408f8a46aebc15293462480f478ff969923,https://artifacts.iacr.org/files/crypto/2024/crypto-2024-a1.zip,https://artifacts.iacr.org/crypto/2024/a1/,04ae2586fccb10481efb861104176e4aaabb380c3cb9704b97ce3c4768a282cb,Regular-ISD/Concrete numbers/estimates.ipynb,cebb0861f1faa53be59eb4c11a2e38219612e1fc8d39e6cb3ce597e28717c9ec,39159736d43e954c565645c76e0cbe1ac433e92ba1f2dcc8f2ab847af8f89dfc,b0864d27f03d76dd3f0bd660d33c71063ad0380498d1e07dcddc1e2f4907eff9,871b91fc3fd31838c2574b6914cf70215755ed7ffc91ca028e0a9e761918e04e
2026-08-04,crypto-2024-regular-isd-diagnostic-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,generic_bjmm_incompatibility,n20_c4_t16,exact live direct RSD with iid uniform F_p* payloads,"artifact calls CryptographicEstimators binary SDEstimator(n,k,w,nsolutions=0)",INCOMPATIBLE_WITH_LIVE_QARY_MODEL,4194304,3145728,64,65536,,p1,4611686018309947393,generic_BJMM_depth_2,,,,1048576,10.000000000000,,no subtraction because no executable raw cost; optional orbit sensitivity remains heuristic,reject: no q parameter and external estimator revision absent,no,IMMUTABLE_ARTIFACT_INCOMPATIBILITY: CryptographicEstimators/Sage dependency has no pinned revision/version,artifact passes nsolutions=0; exact dependency semantics unavailable from archive,"unavailable; known dump rows only, no candidate row",one public sample; q-specific live limb listed explicitly,none silently imported,no BJMM number emitted; installing a current estimator would not reproduce the immutable artifact,afe1e408f8a46aebc15293462480f478ff969923,https://artifacts.iacr.org/files/crypto/2024/crypto-2024-a1.zip,https://artifacts.iacr.org/crypto/2024/a1/,04ae2586fccb10481efb861104176e4aaabb380c3cb9704b97ce3c4768a282cb,Regular-ISD/Concrete numbers/estimates.ipynb,cebb0861f1faa53be59eb4c11a2e38219612e1fc8d39e6cb3ce597e28717c9ec,39159736d43e954c565645c76e0cbe1ac433e92ba1f2dcc8f2ab847af8f89dfc,b0864d27f03d76dd3f0bd660d33c71063ad0380498d1e07dcddc1e2f4907eff9,f3cc09b29cf81f1b039d15f3684a91fcfea6445c1d82e2d2dca3f02c1f30a7b4
2026-08-04,crypto-2024-regular-isd-diagnostic-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,direct_regular_sd_formula,n20_c4_t32,exact live direct: c polynomials; one uniform position/public bucket; iid uniform F_p* payloads,CRYPTO-2024 artifact regular-SD concrete formula; q is absent,DIRECT_RSD_CANDIDATE_FIELD_TRANSFER_UNPROVED,4194304,3145728,128,32768,,p0+p1 (q not an artifact input),not_input,permutation,317.977811464708,42.000000000000,{},1048576,10.000000000000,307.977811464708,raw preserved; separate optional -0.5*log2(n) sensitivity only; arbitrary-decoder speedup heuristic,"pass: N=w*b, 0<k<N, k-w>0, finite optimum",yes,stdlib transcription; accepted zip and members verified,artifact expected-work formula including its per-iteration success term where present,artifact log2 storage-cost proxy; unit not specified by notebook,one public sample; orbit generated locally and not materialized,artifact rank/list/independence and source field model; structured negacyclic matrix transfer unproved; q-ary payload transfer unproved,artifact has no q input; transfer from its source model to iid-uniform-F_p-star payloads is unproved,afe1e408f8a46aebc15293462480f478ff969923,https://artifacts.iacr.org/files/crypto/2024/crypto-2024-a1.zip,https://artifacts.iacr.org/crypto/2024/a1/,04ae2586fccb10481efb861104176e4aaabb380c3cb9704b97ce3c4768a282cb,Regular-ISD/Concrete numbers/estimates.ipynb,cebb0861f1faa53be59eb4c11a2e38219612e1fc8d39e6cb3ce597e28717c9ec,39159736d43e954c565645c76e0cbe1ac433e92ba1f2dcc8f2ab847af8f89dfc,b0864d27f03d76dd3f0bd660d33c71063ad0380498d1e07dcddc1e2f4907eff9,cfbc81bd2b103e0ad70cdc5fbde8a21864a41ce7c9f68ca178b98f655182a079
2026-08-04,crypto-2024-regular-isd-diagnostic-v1,INTERNAL_ADVISOR_DIAGNOSTIC_NO_SECURITY_PIN,direct_regular_sd_formula,n20_c4_t32,exact live direct: c polynomials; one uniform position/public bucket; iid uniform F_p* payloads,CRYPTO-2024 artifact regular-SD concrete formula; q is absent,DIRECT_RSD_CANDIDATE_FIELD_TRANSFER_UNPROVED,4194304,3145728,128,32768,,p0+p1 (q not an artifact input),not_input,enumeration,290.837863025840,62.147124206622,"{""ell"":40,""p"":4}",1048576,10.000000000000,280.837863025840,raw preserved; separate optional -0.5*log2(n) sensitivity only; arbitrary-decoder speedup heuristic,"pass: N=w*b, 0<k<N, k-w>0, finite optimum",yes,stdlib transcription; accepted zip and members verified,artifact expected-work formula including its per-iteration success term where present,artifact log2 storage-cost proxy; unit not specified by notebook,one public sample; orbit generated locally and not materialized,artifact rank/list/independence and source field model; structured negacyclic matrix transfer unproved; q-ary payload transfer unproved,artifact has no q input; transfer from its source model to iid-uniform-F_p-star payloads is unproved,afe1e408f8a46aebc15293462480f478ff969923,https://artifacts.iacr.org/files/crypto/2024/crypto-2024-a1.zip,https://artifacts.iacr.org/crypto/2024/a1/,04ae2586fccb10481efb861104176e4aaabb380c3cb9704b97ce3c4768a282cb,Regular-ISD/Concrete numbers/estimates.ipynb,cebb0861f1faa53be59eb4c11a2e38219612e1fc8d39e6cb3ce597e28717c9ec,39159736d43e954c565645c76e0cbe1ac433e92ba1f2dcc8f2ab847af8f89dfc,b0864d27f03d76dd3f0bd660d33c71063ad0380498d1e07dcddc1e2f4907eff9,a65318e81995560f05d39d39daf0aae75fedc7c0ad3b39aa5abcc742ae17096d
